Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Watercraft in Distress,65,B03,48,Fire,Fire.Watercraft in Distress.B03,Fire.Watercraft in Distress
Medical Incident,6,B06,42,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Industrial Accidents,11,B06,11,Fire,Fire.Industrial Accidents.B06,Fire.Industrial Accidents
Medical Incident,28,B04,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Assist Police,1,B99,1,Alarm,Alarm.Assist Police.B99,Alarm.Assist Police
Aircraft Emergency,26,B09,44,Alarm,Alarm.Aircraft Emergency.B09,Alarm.Aircraft Emergency
Medical Incident,24,B05,,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",8,B09,33,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B09","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Other,1,B07,21,Fire,Fire.Other.B07,Fire.Other
Explosion,3,B09,32,Fire,Fire.Explosion.B09,Fire.Explosion
Vehicle Fire,106,B03,29,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Other,396,B03,35,Alarm,Alarm.Other.B03,Alarm.Other
Medical Incident,1,B99,18,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Other,1,B08,8,Alarm,Alarm.Other.B08,Alarm.Other
Medical Incident,3,B05,29,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Other,17,B06,9,Non Life-threatening,Non Life-threatening.Other.B06,Non Life-threatening.Other
Alarms,474,B10,7,Alarm,Alarm.Alarms.B10,Alarm.Alarms
HazMat,25,B02,36,Fire,Fire.HazMat.B02,Fire.HazMat
Other,31,B09,32,Potentially Life-Threatening,Potentially Life-Threatening.Other.B09,Potentially Life-Threatening.Other
Traffic Collision,2,B05,2,Non Life-threatening,Non Life-threatening.Traffic Collision.B05,Non Life-threatening.Traffic Collision
Vehicle Fire,2,B03,,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Elevator / Escalator Rescue,24,B06,24,Alarm,Alarm.Elevator / Escalator Rescue.B06,Alarm.Elevator / Escalator Rescue
Traffic Collision,4,B99,3,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
HazMat,8,B06,7,Fire,Fire.HazMat.B06,Fire.HazMat
Assist Police,7,B03,35,Alarm,Alarm.Assist Police.B03,Alarm.Assist Police
Medical Incident,4,B03,12,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Medical Incident,1604,B10,7,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
HazMat,5,B01,41,Fire,Fire.HazMat.B01,Fire.HazMat
Alarms,45,B05,,Alarm,Alarm.Alarms.B05,Alarm.Alarms
Other,2,B06,13,Alarm,Alarm.Other.B06,Alarm.Other
Other,4,B99,1,Alarm,Alarm.Other.B99,Alarm.Other
Citizen Assist / Service Call,430,B03,3,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
HazMat,13,B08,23,Alarm,Alarm.HazMat.B08,Alarm.HazMat
Medical Incident,4,B01,10,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
High Angle Rescue,7,B03,35,Fire,Fire.High Angle Rescue.B03,Fire.High Angle Rescue
Traffic Collision,6,B99,11,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Electrical Hazard,2,B01,,Alarm,Alarm.Electrical Hazard.B01,Alarm.Electrical Hazard
Traffic Collision,513,B02,7,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Structure Fire,3825,B02,7,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Industrial Accidents,11,B04,3,Fire,Fire.Industrial Accidents.B04,Fire.Industrial Accidents
Odor (Strange / Unknown),3,B05,10,Fire,Fire.Odor (Strange / Unknown).B05,Fire.Odor (Strange / Unknown)
Medical Incident,5357,B04,5,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),39,B06,26,Alarm,Alarm.Odor (Strange / Unknown).B06,Alarm.Odor (Strange / Unknown)
Odor (Strange / Unknown),76,B04,16,Alarm,Alarm.Odor (Strange / Unknown).B04,Alarm.Odor (Strange / Unknown)
Other,96,B10,25,Potentially Life-Threatening,Potentially Life-Threatening.Other.B10,Potentially Life-Threatening.Other
Odor (Strange / Unknown),74,B01,28,Alarm,Alarm.Odor (Strange / Unknown).B01,Alarm.Odor (Strange / Unknown)
Other,1,B04,51,Non Life-threatening,Non Life-threatening.Other.B04,Non Life-threatening.Other
Water Rescue,6,B04,94,Fire,Fire.Water Rescue.B04,Fire.Water Rescue
Citizen Assist / Service Call,109,B09,32,Alarm,Alarm.Citizen Assist / Service Call.B09,Alarm.Citizen Assist / Service Call
Medical Incident,1700,B08,20,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Medical Incident,3987,B07,10,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Medical Incident,258,B08,12,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Gas Leak (Natural and LP Gases),2,B02,21,Alarm,Alarm.Gas Leak (Natural and LP Gases).B02,Alarm.Gas Leak (Natural and LP Gases)
Assist Police,3,B03,29,Alarm,Alarm.Assist Police.B03,Alarm.Assist Police
Medical Incident,67,B99,13,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,1,B06,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",6,B05,6,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B05","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Citizen Assist / Service Call,1,B07,37,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Explosion,9,B10,25,Fire,Fire.Explosion.B10,Fire.Explosion
Alarms,6,B99,22,Alarm,Alarm.Alarms.B99,Alarm.Alarms
Vehicle Fire,28,B03,4,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
High Angle Rescue,192,B08,19,Fire,Fire.High Angle Rescue.B08,Fire.High Angle Rescue
Aircraft Emergency,104,B99,44,Fire,Fire.Aircraft Emergency.B99,Fire.Aircraft Emergency
Other,10,B07,10,Non Life-threatening,Non Life-threatening.Other.B07,Non Life-threatening.Other
Elevator / Escalator Rescue,3,B08,33,Alarm,Alarm.Elevator / Escalator Rescue.B08,Alarm.Elevator / Escalator Rescue
Gas Leak (Natural and LP Gases),112,B04,10,Alarm,Alarm.Gas Leak (Natural and LP Gases).B04,Alarm.Gas Leak (Natural and LP Gases)
Traffic Collision,367,B05,5,Non Life-threatening,Non Life-threatening.Traffic Collision.B05,Non Life-threatening.Traffic Collision
Other,6,B08,20,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Assist Police,1,B99,51,Alarm,Alarm.Assist Police.B99,Alarm.Assist Police
Medical Incident,282,B04,51,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Outside Fire,2,B09,15,Alarm,Alarm.Outside Fire.B09,Alarm.Outside Fire
Structure Fire,2326,B05,5,Alarm,Alarm.Structure Fire.B05,Alarm.Structure Fire
Medical Incident,40,B05,12,Alarm,Alarm.Medical Incident.B05,Alarm.Medical Incident
Citizen Assist / Service Call,1,B05,,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Structure Fire,792,B02,3,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
Fuel Spill,82,B10,17,Alarm,Alarm.Fuel Spill.B10,Alarm.Fuel Spill
Train / Rail Incident,14,B05,12,Fire,Fire.Train / Rail Incident.B05,Fire.Train / Rail Incident
Elevator / Escalator Rescue,4,B07,22,Alarm,Alarm.Elevator / Escalator Rescue.B07,Alarm.Elevator / Escalator Rescue
Alarms,3953,B03,3,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Traffic Collision,2,B06,,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Medical Incident,2,B10,15,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B10,Potentially Life-Threatening.Medical Incident
Medical Incident,4583,B10,25,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
High Angle Rescue,109,B99,51,Fire,Fire.High Angle Rescue.B99,Fire.High Angle Rescue
Traffic Collision,1462,B08,22,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
Electrical Hazard,30,B02,3,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Traffic Collision,136,B10,32,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Assist Police,10,B08,19,Alarm,Alarm.Assist Police.B08,Alarm.Assist Police
Outside Fire,2,B03,13,Alarm,Alarm.Outside Fire.B03,Alarm.Outside Fire
HazMat,13,B04,38,Fire,Fire.HazMat.B04,Fire.HazMat
HazMat,8,B05,21,Alarm,Alarm.HazMat.B05,Alarm.HazMat
Other,9,B04,5,Non Life-threatening,Non Life-threatening.Other.B04,Non Life-threatening.Other
Structure Fire,342,B10,32,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Medical Incident,17,B08,34,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Structure Fire,2581,B08,18,Alarm,Alarm.Structure Fire.B08,Alarm.Structure Fire
Other,2,B04,31,Alarm,Alarm.Other.B04,Alarm.Other
Other,156,B03,4,Alarm,Alarm.Other.B03,Alarm.Other
Traffic Collision,544,B08,18,Non Life-threatening,Non Life-threatening.Traffic Collision.B08,Non Life-threatening.Traffic Collision
Citizen Assist / Service Call,1,B99,6,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Medical Incident,19,B05,36,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
HazMat,25,B06,11,Alarm,Alarm.HazMat.B06,Alarm.HazMat
Medical Incident,1,B02,24,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Other,5,B04,21,Alarm,Alarm.Other.B04,Alarm.Other
Alarms,397,B09,32,Alarm,Alarm.Alarms.B09,Alarm.Alarms
Confined Space / Structure Collapse,7,B04,10,Fire,Fire.Confined Space / Structure Collapse.B04,Fire.Confined Space / Structure Collapse
Fuel Spill,31,B02,6,Alarm,Alarm.Fuel Spill.B02,Alarm.Fuel Spill
Medical Incident,2,B03,17,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Odor (Strange / Unknown),35,B08,40,Alarm,Alarm.Odor (Strange / Unknown).B08,Alarm.Odor (Strange / Unknown)
Medical Incident,4878,B06,9,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,132,B08,20,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Other,1,B02,5,Fire,Fire.Other.B02,Fire.Other
Medical Incident,2400,B09,32,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Elevator / Escalator Rescue,466,B01,13,Alarm,Alarm.Elevator / Escalator Rescue.B01,Alarm.Elevator / Escalator Rescue
Traffic Collision,460,B08,40,Non Life-threatening,Non Life-threatening.Traffic Collision.B08,Non Life-threatening.Traffic Collision
Vehicle Fire,2,B99,9,Fire,Fire.Vehicle Fire.B99,Fire.Vehicle Fire
Vehicle Fire,144,B08,19,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Structure Fire,2102,B08,40,Alarm,Alarm.Structure Fire.B08,Alarm.Structure Fire
Traffic Collision,1764,B09,15,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B09,Potentially Life-Threatening.Traffic Collision
Citizen Assist / Service Call,20,B08,12,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Medical Incident,2,B04,2,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),49,B08,18,Alarm,Alarm.Odor (Strange / Unknown).B08,Alarm.Odor (Strange / Unknown)
Medical Incident,119,B99,31,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Gas Leak (Natural and LP Gases),3,B07,1,Alarm,Alarm.Gas Leak (Natural and LP Gases).B07,Alarm.Gas Leak (Natural and LP Gases)
Industrial Accidents,12,B08,23,Fire,Fire.Industrial Accidents.B08,Fire.Industrial Accidents
Traffic Collision,3,B04,8,Non Life-threatening,Non Life-threatening.Traffic Collision.B04,Non Life-threatening.Traffic Collision
Traffic Collision,223,B03,13,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B03,Potentially Life-Threatening.Traffic Collision
Other,6,B02,94,Alarm,Alarm.Other.B02,Alarm.Other
Vehicle Fire,60,B99,51,Fire,Fire.Vehicle Fire.B99,Fire.Vehicle Fire
Outside Fire,5,B08,22,Alarm,Alarm.Outside Fire.B08,Alarm.Outside Fire
Watercraft in Distress,27,B03,8,Fire,Fire.Watercraft in Distress.B03,Fire.Watercraft in Distress
Medical Incident,10,B99,21,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,10560,B03,3,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Train / Rail Incident,20,B03,8,Fire,Fire.Train / Rail Incident.B03,Fire.Train / Rail Incident
Alarms,2702,B10,25,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Odor (Strange / Unknown),5,B10,32,Alarm,Alarm.Odor (Strange / Unknown).B10,Alarm.Odor (Strange / Unknown)
Alarms,3,B08,34,Alarm,Alarm.Alarms.B08,Alarm.Alarms
Citizen Assist / Service Call,7,B01,10,Alarm,Alarm.Citizen Assist / Service Call.B01,Alarm.Citizen Assist / Service Call
HazMat,35,B04,3,Alarm,Alarm.HazMat.B04,Alarm.HazMat
Other,3,B99,9,Alarm,Alarm.Other.B99,Alarm.Other
Water Rescue,2,B07,23,Fire,Fire.Water Rescue.B07,Fire.Water Rescue
Other,448,B08,19,Alarm,Alarm.Other.B08,Alarm.Other
Water Rescue,15,B03,8,Potentially Life-Threatening,Potentially Life-Threatening.Water Rescue.B03,Potentially Life-Threatening.Water Rescue
Fuel Spill,26,B01,1,Alarm,Alarm.Fuel Spill.B01,Alarm.Fuel Spill
Medical Incident,22,B05,16,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Outside Fire,19,B01,16,Fire,Fire.Outside Fire.B01,Fire.Outside Fire
Citizen Assist / Service Call,48,B10,7,Alarm,Alarm.Citizen Assist / Service Call.B10,Alarm.Citizen Assist / Service Call
Other,198,B99,51,Alarm,Alarm.Other.B99,Alarm.Other
Outside Fire,30,B04,28,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
Medical Incident,158,B99,14,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),54,B05,5,Alarm,Alarm.Odor (Strange / Unknown).B05,Alarm.Odor (Strange / Unknown)
Medical Incident,17,B03,8,Alarm,Alarm.Medical Incident.B03,Alarm.Medical Incident
Medical Incident,7,B03,41,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Medical Incident,6,B99,44,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Smoke Investigation (Outside),4,B07,22,Alarm,Alarm.Smoke Investigation (Outside).B07,Alarm.Smoke Investigation (Outside)
Gas Leak (Natural and LP Gases),83,B08,39,Alarm,Alarm.Gas Leak (Natural and LP Gases).B08,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,8,B99,42,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,8,B04,13,Non Life-threatening,Non Life-threatening.Medical Incident.B04,Non Life-threatening.Medical Incident
Medical Incident,2787,B03,29,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Outside Fire,286,B04,38,Fire,Fire.Outside Fire.B04,Fire.Outside Fire
HazMat,17,B03,13,Alarm,Alarm.HazMat.B03,Alarm.HazMat
Traffic Collision,2,B99,4,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Medical Incident,32575,B03,8,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Explosion,25,B08,19,Fire,Fire.Explosion.B08,Fire.Explosion
Outside Fire,6,B05,21,Alarm,Alarm.Outside Fire.B05,Alarm.Outside Fire
Assist Police,3,B08,20,Alarm,Alarm.Assist Police.B08,Alarm.Assist Police
Other,41,B03,48,Non Life-threatening,Non Life-threatening.Other.B03,Non Life-threatening.Other
High Angle Rescue,8,B08,20,Fire,Fire.High Angle Rescue.B08,Fire.High Angle Rescue
Electrical Hazard,54,B10,9,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
Smoke Investigation (Outside),9,B08,33,Alarm,Alarm.Smoke Investigation (Outside).B08,Alarm.Smoke Investigation (Outside)
Medical Incident,78,B03,,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,1,B04,21,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Medical Incident,2,B99,23,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Other,4,B02,37,Non Life-threatening,Non Life-threatening.Other.B02,Non Life-threatening.Other
Electrical Hazard,7,B09,,Alarm,Alarm.Electrical Hazard.B09,Alarm.Electrical Hazard
Medical Incident,29,B99,5,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Other,28,B08,19,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Structure Fire,393,B10,9,Fire,Fire.Structure Fire.B10,Fire.Structure Fire
Citizen Assist / Service Call,89,B03,4,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
HazMat,21,B09,15,Alarm,Alarm.HazMat.B09,Alarm.HazMat
Traffic Collision,370,B04,41,Non Life-threatening,Non Life-threatening.Traffic Collision.B04,Non Life-threatening.Traffic Collision
Structure Fire,2615,B04,41,Alarm,Alarm.Structure Fire.B04,Alarm.Structure Fire
Other,1,B10,47,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
Watercraft in Distress,4,B05,16,Fire,Fire.Watercraft in Distress.B05,Fire.Watercraft in Distress
Medical Incident,85,B08,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Medical Incident,2,B09,10,Non Life-threatening,Non Life-threatening.Medical Incident.B09,Non Life-threatening.Medical Incident
Gas Leak (Natural and LP Gases),127,B06,24,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Other,3,B05,,Alarm,Alarm.Other.B05,Alarm.Other
Confined Space / Structure Collapse,6,B08,39,Fire,Fire.Confined Space / Structure Collapse.B08,Fire.Confined Space / Structure Collapse
Assist Police,1,B10,7,Alarm,Alarm.Assist Police.B10,Alarm.Assist Police
Medical Incident,3,B06,9,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Medical Incident,16,B08,29,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),19,B09,39,Alarm,Alarm.Odor (Strange / Unknown).B09,Alarm.Odor (Strange / Unknown)
Gas Leak (Natural and LP Gases),244,B06,32,Alarm,Alarm.Gas Leak (Natural and LP Gases).B06,Alarm.Gas Leak (Natural and LP Gases)
Outside Fire,4,B06,11,Alarm,Alarm.Outside Fire.B06,Alarm.Outside Fire
Medical Incident,2,B10,28,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",6,B08,40,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B08","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Medical Incident,1260,B06,6,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Traffic Collision,1777,B04,3,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
Alarms,6,B04,18,Alarm,Alarm.Alarms.B04,Alarm.Alarms
Medical Incident,9143,B03,35,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Traffic Collision,1,B99,36,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Outside Fire,1,B02,8,Fire,Fire.Outside Fire.B02,Fire.Outside Fire
Structure Fire,665,B09,39,Alarm,Alarm.Structure Fire.B09,Alarm.Structure Fire
Traffic Collision,2,B03,9,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Other,80,B10,7,Alarm,Alarm.Other.B10,Alarm.Other
Citizen Assist / Service Call,99,B99,51,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Explosion,8,B03,4,Fire,Fire.Explosion.B03,Fire.Explosion
Traffic Collision,61,B09,39,Non Life-threatening,Non Life-threatening.Traffic Collision.B09,Non Life-threatening.Traffic Collision
Traffic Collision,3,B05,31,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Fuel Spill,4,B02,9,Alarm,Alarm.Fuel Spill.B02,Alarm.Fuel Spill
Alarms,8013,B03,35,Alarm,Alarm.Alarms.B03,Alarm.Alarms
HazMat,20,B08,22,Alarm,Alarm.HazMat.B08,Alarm.HazMat
Traffic Collision,1713,B05,21,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Structure Fire,16,B08,18,Potentially Life-Threatening,Potentially Life-Threatening.Structure Fire.B08,Potentially Life-Threatening.Structure Fire
Water Rescue,9,B06,24,Fire,Fire.Water Rescue.B06,Fire.Water Rescue
Vehicle Fire,2,B08,12,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Medical Incident,5,B02,10,Non Life-threatening,Non Life-threatening.Medical Incident.B02,Non Life-threatening.Medical Incident
Fuel Spill,6,B07,21,Alarm,Alarm.Fuel Spill.B07,Alarm.Fuel Spill
Structure Fire,1410,B09,43,Fire,Fire.Structure Fire.B09,Fire.Structure Fire
Odor (Strange / Unknown),30,B04,41,Alarm,Alarm.Odor (Strange / Unknown).B04,Alarm.Odor (Strange / Unknown)
Smoke Investigation (Outside),127,B01,13,Alarm,Alarm.Smoke Investigation (Outside).B01,Alarm.Smoke Investigation (Outside)
Medical Incident,2,B03,43,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Oil Spill,2,B03,1,Alarm,Alarm.Oil Spill.B03,Alarm.Oil Spill
Citizen Assist / Service Call,1,B99,9,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Citizen Assist / Service Call,962,B08,19,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Fuel Spill,57,B07,31,Alarm,Alarm.Fuel Spill.B07,Alarm.Fuel Spill
Vehicle Fire,23,B08,20,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Electrical Hazard,411,B09,43,Alarm,Alarm.Electrical Hazard.B09,Alarm.Electrical Hazard
Medical Incident,316,B99,1,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Watercraft in Distress,13,B04,51,Fire,Fire.Watercraft in Distress.B04,Fire.Watercraft in Distress
Alarms,62,B03,,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Traffic Collision,6,B99,16,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Medical Incident,10,B04,6,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Other,8,B03,36,Non Life-threatening,Non Life-threatening.Other.B03,Non Life-threatening.Other
Citizen Assist / Service Call,4,B05,3,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Vehicle Fire,7,B10,7,Fire,Fire.Vehicle Fire.B10,Fire.Vehicle Fire
Structure Fire,11,B02,,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
"Extrication / Entrapped (Machinery, Vehicle)",10,B10,32,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B10","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Marine Fire,16,B01,28,Fire,Fire.Marine Fire.B01,Fire.Marine Fire
Citizen Assist / Service Call,1,B06,14,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Marine Fire,13,B04,16,Fire,Fire.Marine Fire.B04,Fire.Marine Fire
Electrical Hazard,3,B02,,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Fuel Spill,32,B07,14,Alarm,Alarm.Fuel Spill.B07,Alarm.Fuel Spill
Medical Incident,246,B05,20,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Alarms,2364,B03,29,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Medical Incident,3,B04,22,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Alarms,7,B99,44,Alarm,Alarm.Alarms.B99,Alarm.Alarms
Structure Fire,205,B02,29,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
Other,48,B08,12,Alarm,Alarm.Other.B08,Alarm.Other
Outside Fire,6,B04,3,Alarm,Alarm.Outside Fire.B04,Alarm.Outside Fire
Medical Incident,12297,B05,12,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Electrical Hazard,70,B02,29,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Other,208,B08,20,Alarm,Alarm.Other.B08,Alarm.Other
Traffic Collision,1552,B06,11,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B06,Potentially Life-Threatening.Traffic Collision
Confined Space / Structure Collapse,6,B04,38,Fire,Fire.Confined Space / Structure Collapse.B04,Fire.Confined Space / Structure Collapse
Medical Incident,15,B99,4,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Traffic Collision,2465,B03,8,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B03,Potentially Life-Threatening.Traffic Collision
