Call Type,Incident Number,Battalion,Station Area,Call Type Group
Structure Fire,493,B07,34,Fire
Medical Incident,2617,B99,51,Non Life-threatening
Electrical Hazard,164,B10,42,Alarm
Structure Fire,14423,B03,01,Alarm
Odor (Strange / Unknown),50,B05,06,Alarm
Traffic Collision,1324,B03,01,Non Life-threatening
Water Rescue,8,B07,22,Fire
Electrical Hazard,372,B07,34,Alarm
Structure Fire,397,B10,44,Fire
Fuel Spill,16,B02,01,Alarm
Structure Fire,767,B10,42,Fire
Fuel Spill,33,B01,02,Alarm
Other,2,B99,14,Non Life-threatening
Alarms,1220,B08,20,Alarm
Other,170,B03,29,Alarm
Medical Incident,22,B99,22,Non Life-threatening
Explosion,12,B03,03,Fire
Smoke Investigation (Outside),34,B04,10,Alarm
Alarms,553,B08,12,Alarm
Other,1,B99,42,Alarm
Water Rescue,4,B03,48,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",35,B03,01,Fire
Other,1030,B99,44,Alarm
Industrial Accidents,14,B05,21,Fire
Structure Fire,952,B06,26,Alarm
Structure Fire,238,B05,10,Fire
Traffic Collision,173,B06,26,Non Life-threatening
Vehicle Fire,264,B03,35,Fire
Odor (Strange / Unknown),61,B02,07,Alarm
Other,2,B99,05,Alarm
Medical Incident,1,B02,37,Alarm
Elevator / Escalator Rescue,37,B08,39,Alarm
Structure Fire,5218,B01,28,Alarm
Other,9,B03,,Alarm
Traffic Collision,595,B01,28,Non Life-threatening
Traffic Collision,1,B99,17,Non Life-threatening
Electrical Hazard,63,B05,10,Alarm
Medical Incident,71,B99,06,Non Life-threatening
HazMat,12,B10,37,Alarm
Structure Fire,6247,B04,16,Alarm
Traffic Collision,760,B04,16,Non Life-threatening
Traffic Collision,6,B06,36,Non Life-threatening
Elevator / Escalator Rescue,9,B06,32,Alarm
Citizen Assist / Service Call,325,B10,25,Alarm
Watercraft in Distress,65,B03,48,Fire
Medical Incident,6,B06,42,Potentially Life-Threatening
Industrial Accidents,11,B06,11,Fire
Medical Incident,28,B04,01,Potentially Life-Threatening
Assist Police,1,B99,01,Alarm
Aircraft Emergency,26,B09,44,Alarm
Medical Incident,24,B05,,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",8,B09,33,Fire
Other,1,B07,21,Fire
Explosion,3,B09,32,Fire
Vehicle Fire,106,B03,29,Fire
Other,396,B03,35,Alarm
Medical Incident,1,B99,18,Potentially Life-Threatening
Other,1,B08,08,Alarm
Medical Incident,3,B05,29,Non Life-threatening
Other,17,B06,09,Non Life-threatening
Alarms,474,B10,07,Alarm
HazMat,25,B02,36,Fire
Other,31,B09,32,Potentially Life-Threatening
Traffic Collision,2,B05,02,Non Life-threatening
Vehicle Fire,2,B03,,Fire
Elevator / Escalator Rescue,24,B06,24,Alarm
Traffic Collision,4,B99,03,Non Life-threatening
HazMat,8,B06,07,Fire
Assist Police,7,B03,35,Alarm
Medical Incident,4,B03,12,Potentially Life-Threatening
Medical Incident,1604,B10,07,Non Life-threatening
HazMat,5,B01,41,Fire
Alarms,45,B05,,Alarm
Other,2,B06,13,Alarm
Other,4,B99,01,Alarm
Citizen Assist / Service Call,430,B03,03,Alarm
HazMat,13,B08,23,Alarm
Medical Incident,4,B01,10,Non Life-threatening
High Angle Rescue,7,B03,35,Fire
Traffic Collision,6,B99,11,Non Life-threatening
Electrical Hazard,2,B01,,Alarm
Traffic Collision,513,B02,07,Non Life-threatening
Structure Fire,3825,B02,07,Alarm
Industrial Accidents,11,B04,03,Fire
Odor (Strange / Unknown),3,B05,10,Fire
Medical Incident,5357,B04,05,Potentially Life-Threatening
Odor (Strange / Unknown),39,B06,26,Alarm
Odor (Strange / Unknown),76,B04,16,Alarm
Other,96,B10,25,Potentially Life-Threatening
Odor (Strange / Unknown),74,B01,28,Alarm
Other,1,B04,51,Non Life-threatening
Water Rescue,6,B04,94,Fire
Citizen Assist / Service Call,109,B09,32,Alarm
Medical Incident,1700,B08,20,Non Life-threatening
Medical Incident,3987,B07,10,Potentially Life-Threatening
Medical Incident,258,B08,12,Non Life-threatening
Gas Leak (Natural and LP Gases),2,B02,21,Alarm
Assist Police,3,B03,29,Alarm
Medical Incident,67,B99,13,Potentially Life-Threatening
Medical Incident,1,B06,01,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",6,B05,06,Fire
Citizen Assist / Service Call,1,B07,37,Alarm
Explosion,9,B10,25,Fire
Alarms,6,B99,22,Alarm
Vehicle Fire,28,B03,04,Fire
High Angle Rescue,192,B08,19,Fire
Aircraft Emergency,104,B99,44,Fire
Other,10,B07,10,Non Life-threatening
Elevator / Escalator Rescue,3,B08,33,Alarm
Gas Leak (Natural and LP Gases),112,B04,10,Alarm
Traffic Collision,367,B05,05,Non Life-threatening
Other,6,B08,20,Potentially Life-Threatening
Assist Police,1,B99,51,Alarm
Medical Incident,282,B04,51,Potentially Life-Threatening
Outside Fire,2,B09,15,Alarm
Structure Fire,2326,B05,05,Alarm
Medical Incident,40,B05,12,Alarm
Citizen Assist / Service Call,1,B05,,Alarm
Structure Fire,792,B02,03,Fire
Fuel Spill,82,B10,17,Alarm
Train / Rail Incident,14,B05,12,Fire
Elevator / Escalator Rescue,4,B07,22,Alarm
Alarms,3953,B03,03,Alarm
Traffic Collision,2,B06,,Potentially Life-Threatening
Medical Incident,2,B10,15,Potentially Life-Threatening
Medical Incident,4583,B10,25,Non Life-threatening
High Angle Rescue,109,B99,51,Fire
Traffic Collision,1462,B08,22,Potentially Life-Threatening
Electrical Hazard,30,B02,03,Alarm
Traffic Collision,136,B10,32,Non Life-threatening
Assist Police,10,B08,19,Alarm
Outside Fire,2,B03,13,Alarm
HazMat,13,B04,38,Fire
HazMat,8,B05,21,Alarm
Other,9,B04,05,Non Life-threatening
Structure Fire,342,B10,32,Alarm
Medical Incident,17,B08,34,Non Life-threatening
Structure Fire,2581,B08,18,Alarm
Other,2,B04,31,Alarm
Other,156,B03,04,Alarm
Traffic Collision,544,B08,18,Non Life-threatening
Citizen Assist / Service Call,1,B99,06,Alarm
Medical Incident,19,B05,36,Potentially Life-Threatening
HazMat,25,B06,11,Alarm
Medical Incident,1,B02,24,Non Life-threatening
Other,5,B04,21,Alarm
Alarms,397,B09,32,Alarm
Confined Space / Structure Collapse,7,B04,10,Fire
Fuel Spill,31,B02,06,Alarm
Medical Incident,2,B03,17,Non Life-threatening
Odor (Strange / Unknown),35,B08,40,Alarm
Medical Incident,4878,B06,09,Potentially Life-Threatening
Citizen Assist / Service Call,132,B08,20,Alarm
Other,1,B02,05,Fire
Medical Incident,2400,B09,32,Non Life-threatening
Elevator / Escalator Rescue,466,B01,13,Alarm
Traffic Collision,460,B08,40,Non Life-threatening
Vehicle Fire,2,B99,09,Fire
Vehicle Fire,144,B08,19,Fire
Structure Fire,2102,B08,40,Alarm
Traffic Collision,1764,B09,15,Potentially Life-Threatening
Citizen Assist / Service Call,20,B08,12,Alarm
Medical Incident,2,B04,02,Potentially Life-Threatening
Odor (Strange / Unknown),49,B08,18,Alarm
Medical Incident,119,B99,31,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),3,B07,01,Alarm
Industrial Accidents,12,B08,23,Fire
Traffic Collision,3,B04,08,Non Life-threatening
Traffic Collision,223,B03,13,Potentially Life-Threatening
Other,6,B02,94,Alarm
Vehicle Fire,60,B99,51,Fire
Outside Fire,5,B08,22,Alarm
Watercraft in Distress,27,B03,08,Fire
Medical Incident,10,B99,21,Potentially Life-Threatening
Medical Incident,10560,B03,03,Non Life-threatening
Train / Rail Incident,20,B03,08,Fire
Alarms,2702,B10,25,Alarm
Odor (Strange / Unknown),5,B10,32,Alarm
Alarms,3,B08,34,Alarm
Citizen Assist / Service Call,7,B01,10,Alarm
HazMat,35,B04,03,Alarm
Other,3,B99,09,Alarm
Water Rescue,2,B07,23,Fire
Other,448,B08,19,Alarm
Water Rescue,15,B03,08,Potentially Life-Threatening
Fuel Spill,26,B01,01,Alarm
Medical Incident,22,B05,16,Potentially Life-Threatening
Outside Fire,19,B01,16,Fire
Citizen Assist / Service Call,48,B10,07,Alarm
Other,198,B99,51,Alarm
Outside Fire,30,B04,28,Fire
Medical Incident,158,B99,14,Potentially Life-Threatening
Odor (Strange / Unknown),54,B05,05,Alarm
Medical Incident,17,B03,08,Alarm
Medical Incident,7,B03,41,Potentially Life-Threatening
Medical Incident,6,B99,44,Non Life-threatening
Smoke Investigation (Outside),4,B07,22,Alarm
Gas Leak (Natural and LP Gases),83,B08,39,Alarm
Medical Incident,8,B99,42,Non Life-threatening
Medical Incident,8,B04,13,Non Life-threatening
Medical Incident,2787,B03,29,Non Life-threatening
Outside Fire,286,B04,38,Fire
HazMat,17,B03,13,Alarm
Traffic Collision,2,B99,04,Non Life-threatening
Medical Incident,32575,B03,08,Potentially Life-Threatening
Explosion,25,B08,19,Fire
Outside Fire,6,B05,21,Alarm
Assist Police,3,B08,20,Alarm
Other,41,B03,48,Non Life-threatening
High Angle Rescue,8,B08,20,Fire
Electrical Hazard,54,B10,09,Alarm
Smoke Investigation (Outside),9,B08,33,Alarm
Medical Incident,78,B03,,Non Life-threatening
Citizen Assist / Service Call,1,B04,21,Alarm
Medical Incident,2,B99,23,Non Life-threatening
Other,4,B02,37,Non Life-threatening
Electrical Hazard,7,B09,,Alarm
Medical Incident,29,B99,05,Non Life-threatening
Other,28,B08,19,Potentially Life-Threatening
Structure Fire,393,B10,09,Fire
Citizen Assist / Service Call,89,B03,04,Alarm
HazMat,21,B09,15,Alarm
Traffic Collision,370,B04,41,Non Life-threatening
Structure Fire,2615,B04,41,Alarm
Other,1,B10,47,Non Life-threatening
Watercraft in Distress,4,B05,16,Fire
Medical Incident,85,B08,,Potentially Life-Threatening
Medical Incident,2,B09,10,Non Life-threatening
Gas Leak (Natural and LP Gases),127,B06,24,Alarm
Other,3,B05,,Alarm
Confined Space / Structure Collapse,6,B08,39,Fire
Assist Police,1,B10,07,Alarm
Medical Incident,3,B06,09,Alarm
Medical Incident,16,B08,29,Potentially Life-Threatening
Odor (Strange / Unknown),19,B09,39,Alarm
Gas Leak (Natural and LP Gases),244,B06,32,Alarm
Outside Fire,4,B06,11,Alarm
Medical Incident,2,B10,28,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",6,B08,40,Fire
Medical Incident,1260,B06,06,Potentially Life-Threatening
Traffic Collision,1777,B04,03,Potentially Life-Threatening
Alarms,6,B04,18,Alarm
Medical Incident,9143,B03,35,Non Life-threatening
Traffic Collision,1,B99,36,Potentially Life-Threatening
Outside Fire,1,B02,08,Fire
Structure Fire,665,B09,39,Alarm
Traffic Collision,2,B03,09,Non Life-threatening
Other,80,B10,07,Alarm
Citizen Assist / Service Call,99,B99,51,Alarm
Explosion,8,B03,04,Fire
Traffic Collision,61,B09,39,Non Life-threatening
Traffic Collision,3,B05,31,Potentially Life-Threatening
Fuel Spill,4,B02,09,Alarm
Alarms,8013,B03,35,Alarm
HazMat,20,B08,22,Alarm
Traffic Collision,1713,B05,21,Potentially Life-Threatening
Structure Fire,16,B08,18,Potentially Life-Threatening
Water Rescue,9,B06,24,Fire
Vehicle Fire,2,B08,12,Fire
Medical Incident,5,B02,10,Non Life-threatening
Fuel Spill,6,B07,21,Alarm
Structure Fire,1410,B09,43,Fire
Odor (Strange / Unknown),30,B04,41,Alarm
Smoke Investigation (Outside),127,B01,13,Alarm
Medical Incident,2,B03,43,Non Life-threatening
Oil Spill,2,B03,01,Alarm
Citizen Assist / Service Call,1,B99,09,Alarm
Citizen Assist / Service Call,962,B08,19,Alarm
Fuel Spill,57,B07,31,Alarm
Vehicle Fire,23,B08,20,Fire
Electrical Hazard,411,B09,43,Alarm
Medical Incident,316,B99,01,Non Life-threatening
Watercraft in Distress,13,B04,51,Fire
Alarms,62,B03,,Alarm
Traffic Collision,6,B99,16,Potentially Life-Threatening
Medical Incident,10,B04,06,Potentially Life-Threatening
Other,8,B03,36,Non Life-threatening
Citizen Assist / Service Call,4,B05,03,Alarm
Vehicle Fire,7,B10,07,Fire
Structure Fire,11,B02,,Fire
"Extrication / Entrapped (Machinery, Vehicle)",10,B10,32,Fire
Marine Fire,16,B01,28,Fire
Citizen Assist / Service Call,1,B06,14,Alarm
Marine Fire,13,B04,16,Fire
Electrical Hazard,3,B02,,Alarm
Fuel Spill,32,B07,14,Alarm
Medical Incident,246,B05,20,Potentially Life-Threatening
Alarms,2364,B03,29,Alarm
Medical Incident,3,B04,22,Potentially Life-Threatening
Alarms,7,B99,44,Alarm
Structure Fire,205,B02,29,Fire
Other,48,B08,12,Alarm
Outside Fire,6,B04,03,Alarm
Medical Incident,12297,B05,12,Potentially Life-Threatening
Electrical Hazard,70,B02,29,Alarm
Other,208,B08,20,Alarm
Traffic Collision,1552,B06,11,Potentially Life-Threatening
Confined Space / Structure Collapse,6,B04,38,Fire
Medical Incident,15,B99,04,Non Life-threatening
Traffic Collision,2465,B03,08,Potentially Life-Threatening
Electrical Hazard,252,B07,14,Alarm
Medical Incident,6,B03,02,Non Life-threatening
High Angle Rescue,10,B02,07,Fire
Fuel Spill,43,B02,29,Alarm
Traffic Collision,1,B99,44,Non Life-threatening
Other,39,B03,01,Potentially Life-Threatening
Traffic Collision,529,B03,29,Non Life-threatening
Outside Fire,325,B06,32,Fire
Mutual Aid / Assist Outside Agency,1,B08,40,Fire
Structure Fire,806,B07,14,Fire
Structure Fire,1191,B03,29,Alarm
Traffic Collision,3,B99,05,Non Life-threatening
Outside Fire,94,B06,24,Fire
Smoke Investigation (Outside),169,B02,36,Alarm
Other,1,B05,10,Fire
Other,207,B06,26,Alarm
Assist Police,10,B02,07,Alarm
HazMat,6,B06,09,Alarm
Explosion,105,B03,01,Fire
Other,632,B04,16,Alarm
Structure Fire,12,B03,,Alarm
Other,704,B01,28,Alarm
Medical Incident,6,B02,28,Non Life-threatening
Traffic Collision,2,B03,,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",3,B03,03,Fire
Medical Incident,5,B03,13,Alarm
Electrical Hazard,11,B07,21,Alarm
Citizen Assist / Service Call,1,B05,22,Alarm
Structure Fire,1239,B07,31,Fire
Medical Incident,2,B04,11,Potentially Life-Threatening
Medical Incident,4871,B04,41,Non Life-threatening
Structure Fire,117,B07,21,Fire
Fuel Spill,31,B09,43,Alarm
Train / Rail Incident,22,B09,15,Fire
Smoke Investigation (Outside),4,B09,19,Alarm
Electrical Hazard,361,B07,31,Alarm
Medical Incident,5,B06,17,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),345,B04,38,Alarm
Vehicle Fire,77,B06,26,Fire
Citizen Assist / Service Call,441,B05,06,Alarm
Industrial Accidents,9,B04,05,Fire
Medical Incident,24,B09,15,Alarm
Explosion,13,B09,33,Fire
Medical Incident,43010,B04,03,Potentially Life-Threatening
Traffic Collision,1320,B03,35,Non Life-threatening
Medical Incident,60,B99,36,Potentially Life-Threatening
Outside Fire,1,B05,12,Alarm
Structure Fire,2447,B03,35,Alarm
Assist Police,1,B99,03,Alarm
Traffic Collision,29,B06,06,Potentially Life-Threatening
Outside Fire,115,B08,39,Fire
Vehicle Fire,109,B01,28,Fire
Train / Rail Incident,282,B03,13,Fire
Alarms,924,B09,39,Alarm
Vehicle Fire,136,B04,16,Fire
Other,34,B10,37,Non Life-threatening
Odor (Strange / Unknown),30,B03,35,Alarm
Vehicle Fire,135,B02,07,Fire
Medical Incident,5,B07,07,Potentially Life-Threatening
Other,4,B08,31,Alarm
Other,7,B99,03,Alarm
Other,3,B04,36,Alarm
Outside Fire,225,B03,08,Alarm
Medical Incident,23561,B05,21,Potentially Life-Threatening
Citizen Assist / Service Call,1593,B03,01,Alarm
Medical Incident,1357,B09,39,Non Life-threatening
Electrical Hazard,2,B10,,Alarm
Medical Incident,5,B05,31,Potentially Life-Threatening
Vehicle Fire,2,B08,14,Fire
Traffic Collision,13,B99,01,Non Life-threatening
Structure Fire,61,B10,29,Fire
Odor (Strange / Unknown),3,B07,31,Fire
Electrical Hazard,6,B10,29,Alarm
Other,3,B99,11,Alarm
Alarms,2411,B04,41,Alarm
Medical Incident,1,B99,48,Potentially Life-Threatening
Medical Incident,1,B03,51,Non Life-threatening
Vehicle Fire,3,B99,03,Fire
Fuel Spill,43,B10,09,Alarm
Other,414,B02,07,Alarm
Medical Incident,4,B01,07,Non Life-threatening
Assist Police,6,B06,26,Alarm
Medical Incident,41,B08,22,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",14,B10,25,Fire
Assist Police,8,B04,16,Alarm
Smoke Investigation (Outside),13,B03,37,Alarm
Medical Incident,7,B06,03,Potentially Life-Threatening
Smoke Investigation (Outside),120,B06,07,Alarm
Medical Incident,172,B99,16,Potentially Life-Threatening
Smoke Investigation (Outside),30,B09,26,Alarm
Fuel Spill,1,B07,12,Alarm
Assist Police,15,B01,28,Alarm
Citizen Assist / Service Call,517,B09,33,Alarm
Medical Incident,2,B04,17,Potentially Life-Threatening
Explosion,6,B05,06,Fire
High Angle Rescue,14,B01,28,Fire
Traffic Collision,671,B05,12,Potentially Life-Threatening
Suspicious Package,3,B07,31,Fire
Medical Incident,23011,B06,11,Potentially Life-Threatening
Medical Incident,4,B08,09,Potentially Life-Threatening
Odor (Strange / Unknown),1,B07,14,Fire
Traffic Collision,29,B05,20,Potentially Life-Threatening
Odor (Strange / Unknown),13,B03,29,Alarm
Medical Incident,2,B99,19,Potentially Life-Threatening
Medical Incident,2,B04,34,Non Life-threatening
Other,51,B08,23,Non Life-threatening
Smoke Investigation (Outside),125,B01,41,Alarm
Citizen Assist / Service Call,1,B06,20,Alarm
Other,39,B05,06,Potentially Life-Threatening
Traffic Collision,55,B04,51,Potentially Life-Threatening
Vehicle Fire,2,B03,44,Fire
Explosion,13,B02,07,Fire
Medical Incident,8,B06,11,Alarm
Medical Incident,6850,B05,05,Non Life-threatening
Electrical Hazard,26,B01,01,Alarm
Medical Incident,5,B08,06,Potentially Life-Threatening
Citizen Assist / Service Call,1,B01,39,Alarm
Elevator / Escalator Rescue,413,B02,36,Alarm
Industrial Accidents,14,B10,47,Fire
Other,531,B05,06,Alarm
Assist Police,23,B03,01,Alarm
Outside Fire,1,B06,09,Alarm
Medical Incident,5,B06,29,Potentially Life-Threatening
Structure Fire,193,B01,01,Fire
Marine Fire,3,B99,51,Fire
Other,37,B02,07,Potentially Life-Threatening
Suspicious Package,3,B02,06,Fire
High Angle Rescue,4,B03,01,Fire
Medical Incident,15018,B08,22,Potentially Life-Threatening
Traffic Collision,6,B08,34,Non Life-threatening
Medical Incident,671,B10,32,Non Life-threatening
Other,1,B99,35,Alarm
HazMat,10,B06,32,Fire
Traffic Collision,770,B10,25,Non Life-threatening
Odor (Strange / Unknown),21,B03,03,Alarm
Medical Incident,66,B06,,Potentially Life-Threatening
Structure Fire,2227,B10,25,Alarm
Train / Rail Incident,7,B06,11,Fire
HazMat,33,B05,12,Alarm
Industrial Accidents,12,B03,48,Fire
Other,4,B99,29,Alarm
Other,4,B02,33,Alarm
Citizen Assist / Service Call,838,B04,16,Alarm
Assist Police,10,B09,33,Alarm
Other,3,B03,44,Alarm
Citizen Assist / Service Call,722,B01,28,Alarm
Traffic Collision,3,B05,36,Potentially Life-Threatening
Other,2,B03,42,Alarm
HazMat,2,B08,39,Fire
Medical Incident,7601,B08,18,Non Life-threatening
Citizen Assist / Service Call,483,B06,26,Alarm
Vehicle Fire,93,B05,06,Fire
Other,4,B99,,Alarm
Outside Fire,91,B04,10,Fire
Medical Incident,40,B05,21,Alarm
Medical Incident,4,B02,15,Potentially Life-Threatening
Alarms,3,B05,01,Alarm
Alarms,1641,B08,40,Alarm
Water Rescue,13,B01,16,Fire
Suspicious Package,1,B10,17,Fire
Traffic Collision,5,B02,32,Non Life-threatening
Odor (Strange / Unknown),25,B09,32,Alarm
Water Rescue,474,B04,28,Fire
Other,3,B03,05,Alarm
Medical Incident,72,B04,,Potentially Life-Threatening
Medical Incident,32,B04,03,Alarm
Gas Leak (Natural and LP Gases),32,B01,16,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",19,B03,35,Fire
Medical Incident,6148,B08,40,Non Life-threatening
Medical Incident,2,B05,01,Non Life-threatening
Other,6,B06,20,Alarm
Structure Fire,583,B02,06,Fire
Gas Leak (Natural and LP Gases),6,B04,28,Alarm
Medical Incident,18190,B09,15,Potentially Life-Threatening
Traffic Collision,337,B06,09,Potentially Life-Threatening
Traffic Collision,682,B09,32,Non Life-threatening
Electrical Hazard,111,B02,06,Alarm
Structure Fire,903,B09,32,Alarm
HazMat,33,B03,08,Alarm
Medical Incident,5245,B03,13,Potentially Life-Threatening
Marine Fire,3,B03,04,Fire
Other,293,B09,33,Alarm
Alarms,2112,B08,18,Alarm
Vehicle Fire,219,B03,01,Fire
Medical Incident,6,B04,08,Non Life-threatening
Citizen Assist / Service Call,459,B02,07,Alarm
Traffic Collision,28,B99,31,Potentially Life-Threatening
Medical Incident,3,B06,43,Potentially Life-Threatening
Vehicle Fire,10,B06,20,Fire
Medical Incident,11,B99,12,Potentially Life-Threatening
Other,2,B06,26,Potentially Life-Threatening
Alarms,456,B10,32,Alarm
Electrical Hazard,325,B10,17,Alarm
High Angle Rescue,3,B05,06,Fire
Structure Fire,2504,B03,03,Alarm
Elevator / Escalator Rescue,215,B01,41,Alarm
Odor (Strange / Unknown),34,B10,25,Alarm
Other,99,B01,28,Potentially Life-Threatening
Medical Incident,8,B02,38,Non Life-threatening
Traffic Collision,83,B03,03,Non Life-threatening
Structure Fire,2003,B10,17,Fire
Fuel Spill,15,B02,03,Alarm
Other,35,B04,16,Potentially Life-Threatening
Citizen Assist / Service Call,2,B06,19,Alarm
Vehicle Fire,194,B09,33,Fire
Explosion,10,B06,26,Fire
Traffic Collision,3,B03,41,Potentially Life-Threatening
Traffic Collision,9,B99,14,Potentially Life-Threatening
Alarms,4039,B05,05,Alarm
Elevator / Escalator Rescue,67,B06,07,Alarm
Assist Police,7,B05,06,Alarm
Elevator / Escalator Rescue,7,B03,37,Alarm
Electrical Hazard,1,B08,15,Alarm
Explosion,22,B01,28,Fire
Citizen Assist / Service Call,2,B06,16,Alarm
Explosion,15,B04,16,Fire
Other,1274,B03,01,Alarm
Medical Incident,5,B06,28,Non Life-threatening
Traffic Collision,1357,B10,17,Potentially Life-Threatening
Medical Incident,1,B09,03,Potentially Life-Threatening
Traffic Collision,4,B07,23,Non Life-threatening
Smoke Investigation (Outside),32,B06,26,Alarm
Fuel Spill,1,B06,,Alarm
Medical Incident,10,B01,36,Non Life-threatening
Other,1067,B02,36,Alarm
Smoke Investigation (Outside),84,B04,16,Alarm
Fuel Spill,48,B08,22,Alarm
Assist Police,2,B03,37,Alarm
Elevator / Escalator Rescue,34,B05,06,Alarm
Assist Police,14,B06,07,Alarm
HazMat,4,B03,35,Fire
Assist Police,2,B09,26,Alarm
Medical Incident,2,B10,09,Alarm
Outside Fire,1,B02,24,Fire
Other,25,B05,10,Non Life-threatening
Smoke Investigation (Outside),126,B01,28,Alarm
Gas Leak (Natural and LP Gases),38,B10,32,Alarm
Electrical Hazard,3,B99,14,Alarm
Outside Fire,1,B02,32,Fire
Medical Incident,2,B10,22,Potentially Life-Threatening
Structure Fire,1690,B04,10,Alarm
Other,2,B09,48,Alarm
Traffic Collision,209,B04,10,Non Life-threatening
Gas Leak (Natural and LP Gases),182,B05,05,Alarm
HazMat,18,B07,31,Alarm
Vehicle Fire,6,B09,19,Fire
Assist Police,8,B01,41,Alarm
Medical Incident,2,B09,11,Potentially Life-Threatening
Industrial Accidents,3,B09,44,Fire
Citizen Assist / Service Call,4,B07,,Alarm
Medical Incident,2,B06,39,Non Life-threatening
Water Rescue,2,B08,40,Fire
Medical Incident,11,B07,36,Potentially Life-Threatening
Vehicle Fire,468,B02,36,Fire
Medical Incident,4,B03,32,Potentially Life-Threatening
Structure Fire,236,B06,09,Fire
Outside Fire,6,B01,01,Alarm
Other,1,B04,07,Alarm
Other,11,B10,37,Fire
Alarms,319,B04,28,Alarm
Confined Space / Structure Collapse,7,B05,05,Fire
Traffic Collision,1303,B02,06,Potentially Life-Threatening
Medical Incident,1,B10,18,Non Life-threatening
Electrical Hazard,66,B06,09,Alarm
Alarms,168,B01,16,Alarm
Traffic Collision,4,B03,25,Potentially Life-Threatening
Medical Incident,4,B07,26,Potentially Life-Threatening
HazMat,1,B03,29,Fire
HazMat,14,B07,14,Alarm
Gas Leak (Natural and LP Gases),191,B08,18,Alarm
Outside Fire,1230,B10,25,Fire
Electrical Hazard,3,B99,31,Alarm
Other,48,B09,19,Alarm
Outside Fire,2,B08,34,Fire
Outside Fire,140,B03,03,Fire
Medical Incident,23,B09,43,Alarm
Medical Incident,2,B10,40,Non Life-threatening
Outside Fire,3,B10,17,Alarm
Medical Incident,1,B01,19,Non Life-threatening
Fuel Spill,1,B03,13,Alarm
Other,1,B02,19,Alarm
Vehicle Fire,73,B01,41,Fire
Water Rescue,13,B08,18,Fire
Assist Police,2,B09,19,Alarm
Medical Incident,4,B09,34,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",6,B06,32,Fire
Odor (Strange / Unknown),3,B06,09,Fire
Citizen Assist / Service Call,2,B10,14,Alarm
Other,3,B07,03,Alarm
Assist Police,2,B04,07,Alarm
Medical Incident,14,B99,07,Potentially Life-Threatening
Elevator / Escalator Rescue,19,B09,33,Alarm
Medical Incident,178,B01,16,Non Life-threatening
Medical Incident,3,B09,17,Potentially Life-Threatening
Other,1,B02,16,Alarm
Gas Leak (Natural and LP Gases),141,B08,40,Alarm
Vehicle Fire,42,B09,26,Fire
Vehicle Fire,119,B06,07,Fire
Fuel Spill,75,B09,15,Alarm
Vehicle Fire,14,B03,37,Fire
Medical Incident,665,B04,28,Non Life-threatening
Traffic Collision,497,B01,01,Potentially Life-Threatening
Medical Incident,2,B02,29,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",6,B08,39,Fire
Outside Fire,267,B09,32,Fire
Electrical Hazard,3,B04,51,Alarm
Other,380,B01,41,Alarm
Medical Incident,3,B02,41,Non Life-threatening
Medical Incident,16,B02,11,Potentially Life-Threatening
High Angle Rescue,18,B02,36,Fire
Confined Space / Structure Collapse,11,B08,40,Fire
Outside Fire,5,B02,06,Alarm
Odor (Strange / Unknown),24,B04,10,Alarm
Alarms,3,B01,36,Alarm
Assist Police,15,B02,36,Alarm
Water Rescue,3,B10,32,Fire
Medical Incident,50274,B02,03,Potentially Life-Threatening
Medical Incident,1,B02,,Alarm
Smoke Investigation (Outside),74,B02,07,Alarm
Other,623,B06,07,Alarm
Other,34,B03,37,Alarm
Other,71,B09,26,Alarm
Elevator / Escalator Rescue,839,B03,01,Alarm
Traffic Collision,14,B03,28,Potentially Life-Threatening
Medical Incident,202,B02,,Potentially Life-Threatening
Medical Incident,14,B02,03,Alarm
Other,34,B01,03,Non Life-threatening
Vehicle Fire,3,B07,,Fire
Outside Fire,1,B07,21,Alarm
Citizen Assist / Service Call,87,B09,19,Alarm
Other,6,B09,26,Potentially Life-Threatening
Other,20,B06,07,Potentially Life-Threatening
Explosion,21,B01,41,Fire
Outside Fire,3,B07,31,Alarm
Structure Fire,855,B08,39,Alarm
Medical Incident,10341,B02,29,Potentially Life-Threatening
Medical Incident,4,B99,33,Potentially Life-Threatening
Traffic Collision,296,B08,39,Non Life-threatening
Electrical Hazard,89,B05,12,Alarm
Elevator / Escalator Rescue,14,B06,26,Alarm
Structure Fire,12,B05,20,Fire
Smoke Investigation (Outside),132,B05,06,Alarm
Elevator / Escalator Rescue,134,B04,16,Alarm
Elevator / Escalator Rescue,1,B06,36,Alarm
Odor (Strange / Unknown),1,B03,08,Fire
Other,8,B01,41,Potentially Life-Threatening
