Call Type Group,Call Type,Battalion,Station Area
Alarm,Other,B08,12
Fire,Structure Fire,B08,19
Non Life-threatening,Other,B10,29
Non Life-threatening,Medical Incident,B07,28
Alarm,Smoke Investigation (Outside),B01,41
Fire,Structure Fire,B04,10
Fire,Industrial Accidents,B03,01
Alarm,Other,B08,20
Potentially Life-Threatening,Traffic Collision,B09,43
Fire,HazMat,B07,31
Non Life-threatening,Medical Incident,B09,34
Non Life-threatening,Traffic Collision,B02,41
Alarm,Assist Police,B01,28
Potentially Life-Threatening,Medical Incident,B02,29
Alarm,Other,B99,40
Non Life-threatening,Medical Incident,B02,40
Fire,Outside Fire,B01,15
Fire,Vehicle Fire,B04,03
Potentially Life-Threatening,Traffic Collision,B02,01
Alarm,Smoke Investigation (Outside),B10,44
Fire,Outside Fire,B09,32
Alarm,Smoke Investigation (Outside),B10,42
Alarm,Gas Leak (Natural and LP Gases),B08,33
Alarm,Other,B08,34
Potentially Life-Threatening,Medical Incident,B08,07
Potentially Life-Threatening,Medical Incident,B09,44
Non Life-threatening,Medical Incident,B01,22
Alarm,Alarms,B08,19
Potentially Life-Threatening,Medical Incident,B09,42
Alarm,Odor (Strange / Unknown),B06,24
Alarm,Citizen Assist / Service Call,B06,07
Alarm,Alarms,B04,10
Alarm,Alarms,B07,23
Non Life-threatening,Medical Incident,B09,12
Non Life-threatening,Medical Incident,B10,08
Non Life-threatening,Medical Incident,B01,06
Non Life-threatening,Medical Incident,B04,29
Alarm,Citizen Assist / Service Call,B05,10
Alarm,HazMat,B09,33
Potentially Life-Threatening,Traffic Collision,B04,41
Alarm,Smoke Investigation (Outside),B08,39
Alarm,Electrical Hazard,B06,06
Alarm,Odor (Strange / Unknown),B06,32
Non Life-threatening,Traffic Collision,B06,11
Non Life-threatening,Other,B09,17
Non Life-threatening,Medical Incident,B09,20
Alarm,Fuel Spill,B06,11
Fire,Structure Fire,B06,07
Alarm,Elevator / Escalator Rescue,B02,29
Non Life-threatening,Other,B04,16
Potentially Life-Threatening,Medical Incident,B04,13
Alarm,Assist Police,B03,37
Fire,Structure Fire,B05,10
Fire,Watercraft in Distress,B03,04
Fire,Industrial Accidents,B05,21
Alarm,Structure Fire,B04,28
Alarm,Electrical Hazard,B02,21
Potentially Life-Threatening,Traffic Collision,B03,43
Fire,Vehicle Fire,B09,26
Fire,Marine Fire,B01,35
Potentially Life-Threatening,Medical Incident,B05,31
Non Life-threatening,Traffic Collision,B04,51
Potentially Life-Threatening,Traffic Collision,B02,05
Alarm,Other,B03,37
Non Life-threatening,Other,B02,06
Fire,Odor (Strange / Unknown),B05,10
Alarm,Elevator / Escalator Rescue,B03,01
Alarm,Medical Incident,B07,31
Alarm,Elevator / Escalator Rescue,B01,16
Alarm,Alarms,B07,01
Alarm,HazMat,B10,25
Potentially Life-Threatening,Medical Incident,B05,21
Alarm,Fuel Spill,B05,05
Non Life-threatening,Traffic Collision,B03,13
Non Life-threatening,Traffic Collision,B01,03
Potentially Life-Threatening,Medical Incident,B10,22
Fire,Vehicle Fire,B06,09
Alarm,Other,B05,24
Alarm,Elevator / Escalator Rescue,B06,36
Fire,Structure Fire,B10,37
Fire,Vehicle Fire,B01,02
Potentially Life-Threatening,Traffic Collision,B03,35
Non Life-threatening,Medical Incident,B06,06
Potentially Life-Threatening,Medical Incident,B01,08
Potentially Life-Threatening,Traffic Collision,B02,44
Alarm,Other,B99,14
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B05,06
Alarm,Elevator / Escalator Rescue,B06,26
Alarm,Gas Leak (Natural and LP Gases),B99,10
Potentially Life-Threatening,Medical Incident,B09,01
Alarm,Smoke Investigation (Outside),B02,03
Alarm,Outside Fire,B08,23
Potentially Life-Threatening,Traffic Collision,B10,17
Alarm,Other,B07,22
Potentially Life-Threatening,Medical Incident,B03,02
Alarm,Gas Leak (Natural and LP Gases),B10,09
Non Life-threatening,Medical Incident,B03,41
Fire,Vehicle Fire,B03,08
Alarm,Medical Incident,B07,14
Alarm,Gas Leak (Natural and LP Gases),B01,41
Alarm,Structure Fire,B06,32
Potentially Life-Threatening,Traffic Collision,B03,29
Non Life-threatening,Traffic Collision,B05,05
Alarm,Structure Fire,B06,24
Alarm,Fuel Spill,B03,13
Non Life-threatening,Medical Incident,B02,31
Alarm,Gas Leak (Natural and LP Gases),B10,51
Alarm,Fuel Spill,B01,03
Alarm,Other,B99,31
Potentially Life-Threatening,Other,B05,06
Potentially Life-Threatening,Traffic Collision,B05,20
Alarm,Citizen Assist / Service Call,B10,37
Fire,Industrial Accidents,B09,44
Alarm,Other,B99,21
Non Life-threatening,Medical Incident,B02,21
Fire,Outside Fire,B99,44
Alarm,Fuel Spill,B04,51
Fire,Vehicle Fire,B09,19
Potentially Life-Threatening,Traffic Collision,B05,12
Potentially Life-Threatening,Medical Incident,B99,32
Alarm,Elevator / Escalator Rescue,B08,39
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B04,05
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B07,10
Non Life-threatening,Medical Incident,B09,19
Potentially Life-Threatening,Traffic Collision,B03,03
Alarm,Electrical Hazard,B09,26
Non Life-threatening,Medical Incident,B99,15
Potentially Life-Threatening,Traffic Collision,B01,13
Alarm,Gas Leak (Natural and LP Gases),B05,21
Fire,Train / Rail Incident,B02,06
Fire,Explosion,B06,09
Alarm,Elevator / Escalator Rescue,B10,42
Alarm,Elevator / Escalator Rescue,B10,44
Fire,Water Rescue,B08,22
Alarm,Alarms,B08,20
Fire,Explosion,B01,02
Non Life-threatening,Medical Incident,B09,16
Non Life-threatening,Traffic Collision,B02,36
Potentially Life-Threatening,Medical Incident,B99,10
Non Life-threatening,Medical Incident,B07,07
Alarm,Alarms,B08,12
Non Life-threatening,Medical Incident,B03,08
Alarm,Other,B07,51
Non Life-threatening,Medical Incident,B01,02
Non Life-threatening,Medical Incident,B06,09
Potentially Life-Threatening,Medical Incident,B10,09
Alarm,Other,B08,08
Alarm,Fuel Spill,B02,36
Alarm,Alarms,B99,13
Non Life-threatening,Traffic Collision,B04,06
Alarm,Medical Incident,B02,07
Fire,Explosion,B03,08
Potentially Life-Threatening,Traffic Collision,B05,36
Alarm,Odor (Strange / Unknown),B02,37
Fire,Vehicle Fire,B06,06
Alarm,Other,B05,10
Potentially Life-Threatening,Medical Incident,B01,41
Non Life-threatening,Medical Incident,B09,48
Alarm,Other,B06,07
Alarm,Electrical Hazard,B04,03
Alarm,Smoke Investigation (Outside),B02,29
Alarm,Odor (Strange / Unknown),B04,38
Alarm,Assist Police,B10,37
Fire,Explosion,B09,19
Fire,Explosion,B04,03
Alarm,Citizen Assist / Service Call,B99,21
Alarm,Assist Police,B06,07
Potentially Life-Threatening,Medical Incident,B08,33
Alarm,Gas Leak (Natural and LP Gases),B09,44
Non Life-threatening,Other,B03,04
Alarm,Gas Leak (Natural and LP Gases),B09,42
Alarm,Electrical Hazard,B09,19
Non Life-threatening,Medical Incident,B09,26
Alarm,Citizen Assist / Service Call,B99,31
Alarm,HazMat,B08,23
Alarm,Electrical Hazard,B99,15
Fire,Structure Fire,B05,24
Alarm,Elevator / Escalator Rescue,B02,03
Alarm,Smoke Investigation (Outside),B06,26
Alarm,Structure Fire,B04,38
Alarm,Citizen Assist / Service Call,B07,06
Alarm,Other,B10,37
Potentially Life-Threatening,Medical Incident,B03,06
Alarm,Smoke Investigation (Outside),B01,16
Alarm,Smoke Investigation (Outside),B03,01
Alarm,Citizen Assist / Service Call,B07,22
Fire,Industrial Accidents,B10,09
Fire,Structure Fire,B03,37
Fire,Watercraft in Distress,B04,16
Alarm,Structure Fire,B02,37
Alarm,Outside Fire,B10,25
Alarm,Assist Police,B05,10
Alarm,Electrical Hazard,B03,08
Potentially Life-Threatening,Traffic Collision,B10,29
Alarm,Electrical Hazard,B01,02
Non Life-threatening,Traffic Collision,B06,29
Alarm,Citizen Assist / Service Call,B99,14
Alarm,Electrical Hazard,B06,09
Potentially Life-Threatening,Medical Incident,B10,02
Alarm,Citizen Assist / Service Call,B05,24
Fire,Water Rescue,B07,34
Non Life-threatening,Medical Incident,B04,03
Non Life-threatening,Other,B09,43
Alarm,Alarms,B01,28
Non Life-threatening,Medical Incident,B01,51
Alarm,Citizen Assist / Service Call,B03,37
Non Life-threatening,Traffic Collision,B99,15
Potentially Life-Threatening,Medical Incident,B01,13
Non Life-threatening,Traffic Collision,B09,19
Potentially Life-Threatening,Medical Incident,B03,03
Non Life-threatening,Medical Incident,B10,18
Non Life-threatening,Other,B06,26
Alarm,HazMat,B02,07
Alarm,Structure Fire,B01,28
Alarm,Citizen Assist / Service Call,B08,18
Alarm,Gas Leak (Natural and LP Gases),B02,05
Fire,Vehicle Fire,B05,05
Alarm,Smoke Investigation (Outside),B03,04
Fire,Outside Fire,B09,39
Non Life-threatening,Medical Incident,B02,36
Alarm,Fuel Spill,B06,09
Alarm,Other,B99,36
Potentially Life-Threatening,Traffic Collision,B99,10
Alarm,Fuel Spill,B01,02
Non Life-threatening,Traffic Collision,B07,07
Non Life-threatening,Traffic Collision,B03,08
Alarm,Gas Leak (Natural and LP Gases),B10,17
Alarm,Odor (Strange / Unknown),B08,12
Fire,Outside Fire,B10,07
Non Life-threatening,Medical Incident,B01,35
Alarm,Elevator / Escalator Rescue,B02,06
Alarm,Gas Leak (Natural and LP Gases),B03,35
Potentially Life-Threatening,Medical Incident,B03,11
Non Life-threatening,Other,B03,01
Alarm,Odor (Strange / Unknown),B08,20
Alarm,Alarms,B02,37
Potentially Life-Threatening,Medical Incident,B05,36
Non Life-threatening,Medical Incident,B04,06
Non Life-threatening,Medical Incident,B01,29
Potentially Life-Threatening,Traffic Collision,B01,41
Alarm,Gas Leak (Natural and LP Gases),B03,29
Fire,Explosion,B02,36
Potentially Life-Threatening,Water Rescue,B03,35
Non Life-threatening,Traffic Collision,B01,02
Fire,Structure Fire,B08,18
Alarm,Fuel Spill,B03,08
Alarm,Assist Police,B09,15
Potentially Life-Threatening,Traffic Collision,B10,09
Non Life-threatening,Traffic Collision,B06,09
Fire,Outside Fire,B07,34
Fire,Vehicle Fire,B01,03
Alarm,Alarms,B04,38
Fire,Vehicle Fire,B03,13
Alarm,Gas Leak (Natural and LP Gases),B05,12
Non Life-threatening,Medical Incident,B04,22
Non Life-threatening,Medical Incident,B06,43
Alarm,Gas Leak (Natural and LP Gases),B05,20
Alarm,Fuel Spill,B09,19
Fire,Vehicle Fire,B04,51
Alarm,Smoke Investigation (Outside),B09,43
Alarm,Fuel Spill,B04,03
Non Life-threatening,Traffic Collision,B09,26
Fire,Structure Fire,B08,40
Potentially Life-Threatening,Traffic Collision,B08,33
Alarm,Gas Leak (Natural and LP Gases),B02,01
Potentially Life-Threatening,Medical Incident,B06,13
Alarm,Other,B99,16
Alarm,Electrical Hazard,B02,36
Fire,Outside Fire,B08,22
Potentially Life-Threatening,Medical Incident,B99,28
Alarm,Other,B10,47
Alarm,Outside Fire,B07,14
Potentially Life-Threatening,Medical Incident,B03,17
Alarm,Structure Fire,B99,13
Alarm,Other,B09,15
Alarm,Gas Leak (Natural and LP Gases),B04,41
Alarm,Other,B99,19
Alarm,Structure Fire,B06,39
Fire,Watercraft in Distress,B99,94
Alarm,Structure Fire,B08,12
Fire,Vehicle Fire,B06,11
Alarm,Citizen Assist / Service Call,B08,40
Alarm,Medical Incident,B08,23
Non Life-threatening,Medical Incident,B06,29
Potentially Life-Threatening,Medical Incident,B10,29
Alarm,Structure Fire,B08,20
Non Life-threatening,Medical Incident,B10,40
Fire,Other,B04,10
Alarm,Alarms,B05,07
Potentially Life-Threatening,Medical Incident,B99,39
Non Life-threatening,Other,B02,29
Alarm,Elevator / Escalator Rescue,B04,16
Alarm,Outside Fire,B07,21
Non Life-threatening,Medical Incident,B02,48
Fire,Vehicle Fire,B03,18
Fire,Industrial Accidents,B01,13
Alarm,Outside Fire,B07,31
Non Life-threatening,Traffic Collision,B04,03
Alarm,Citizen Assist / Service Call,B99,12
Alarm,Odor (Strange / Unknown),B01,28
Alarm,Fuel Spill,B09,26
Potentially Life-Threatening,Medical Incident,B05,16
Fire,Outside Fire,B09,25
Alarm,Odor (Strange / Unknown),B04,10
Alarm,Electrical Hazard,B01,03
Alarm,Electrical Hazard,B03,13
Alarm,Smoke Investigation (Outside),B02,06
Fire,Confined Space / Structure Collapse,B09,32
Non Life-threatening,Medical Incident,B03,18
Potentially Life-Threatening,Medical Incident,B02,01
Alarm,Electrical Hazard,B04,51
Potentially Life-Threatening,Traffic Collision,B09,42
Alarm,Odor (Strange / Unknown),B08,19
Alarm,Alarms,B06,24
Potentially Life-Threatening,Traffic Collision,B09,44
Potentially Life-Threatening,Medical Incident,B10,03
Non Life-threatening,Medical Incident,B06,03
Alarm,Outside Fire,B99,51
Fire,Suspicious Package,B09,15
Potentially Life-Threatening,Medical Incident,B10,11
Fire,Other,B01,28
Non Life-threatening,Medical Incident,B06,11
Alarm,Alarms,B06,32
Alarm,Outside Fire,B02,07
Alarm,Smoke Investigation (Outside),B09,11
Non Life-threatening,Other,B02,03
Alarm,Medical Incident,B99,03
Non Life-threatening,Traffic Collision,B10,08
Fire,Industrial Accidents,B03,29
Alarm,Elevator / Escalator Rescue,B03,04
Potentially Life-Threatening,Medical Incident,B04,41
Fire,Industrial Accidents,B03,35
Alarm,Other,B07,03
Potentially Life-Threatening,Traffic Collision,B03,09
Fire,Explosion,B06,11
Fire,HazMat,B07,34
Potentially Life-Threatening,Medical Incident,B99,38
Alarm,Gas Leak (Natural and LP Gases),B10,29
Fire,Industrial Accidents,B10,17
Alarm,Citizen Assist / Service Call,B99,36
Fire,Outside Fire,B08,51
Alarm,Elevator / Escalator Rescue,B09,43
Fire,High Angle Rescue,B02,36
Alarm,Assist Police,B08,40
Non Life-threatening,Medical Incident,B09,21
Alarm,Other,B08,18
Alarm,Assist Police,B04,07
Alarm,Medical Incident,B09,33
Alarm,Electrical Hazard,B05,05
Fire,Marine Fire,B03,08
Potentially Life-Threatening,Traffic Collision,B04,13
Non Life-threatening,Medical Incident,B05,01
Alarm,HazMat,B07,14
Potentially Life-Threatening,Traffic Collision,B05,21
Alarm,Gas Leak (Natural and LP Gases),B01,13
Alarm,Gas Leak (Natural and LP Gases),B03,03
Alarm,Assist Police,B08,18
Fire,Structure Fire,B09,15
Non Life-threatening,Medical Incident,B01,03
Non Life-threatening,Medical Incident,B02,12
Alarm,Alarms,B04,28
Fire,HazMat,B08,22
Non Life-threatening,Medical Incident,B03,13
Non Life-threatening,Other,B10,42
Potentially Life-Threatening,Medical Incident,B02,23
Non Life-threatening,Medical Incident,B04,51
Fire,Outside Fire,B02,24
Potentially Life-Threatening,Traffic Collision,B05,31
Non Life-threatening,Other,B10,44
Alarm,Other,B04,07
Alarm,HazMat,B10,32
Potentially Life-Threatening,Medical Incident,B02,05
Fire,Explosion,B05,05
Non Life-threatening,Medical Incident,B02,20
Alarm,Electrical Hazard,B06,11
Potentially Life-Threatening,Medical Incident,B02,44
Potentially Life-Threatening,Medical Incident,B02,42
Non Life-threatening,Traffic Collision,B06,06
Fire,Train / Rail Incident,B03,01
Fire,Structure Fire,B99,16
Non Life-threatening,Medical Incident,B06,17
Potentially Life-Threatening,Medical Incident,B10,17
Fire,Outside Fire,B02,32
Fire,Watercraft in Distress,B01,48
Non Life-threatening,Medical Incident,B01,11
Potentially Life-Threatening,Other,B01,01
Alarm,Aircraft Emergency,B03,08
Potentially Life-Threatening,Medical Incident,B03,35
Non Life-threatening,Other,B08,39
Alarm,Other,B08,40
Fire,Outside Fire,B10,33
Fire,Industrial Accidents,B04,41
Fire,Vehicle Fire,B02,36
Alarm,Smoke Investigation (Outside),B04,16
Alarm,Citizen Assist / Service Call,B09,15
Potentially Life-Threatening,Medical Incident,B03,29
Alarm,Medical Incident,B10,25
Alarm,HazMat,B07,31
Potentially Life-Threatening,Other,B03,48
Alarm,Citizen Assist / Service Call,B10,47
Potentially Life-Threatening,Traffic Collision,B03,02
Fire,Vehicle Fire,B01,35
Alarm,Fuel Spill,B06,06
Fire,Explosion,B01,03
Fire,Explosion,B03,13
Potentially Life-Threatening,Medical Incident,B05,12
Alarm,Structure Fire,B04,10
Alarm,Citizen Assist / Service Call,B99,16
Non Life-threatening,Medical Incident,B05,05
Alarm,Structure Fire,B08,19
Potentially Life-Threatening,Medical Incident,B05,20
Potentially Life-Threatening,Medical Incident,B99,25
Alarm,Odor (Strange / Unknown),B10,09
Fire,Structure Fire,B02,06
Alarm,Assist Police,B99,07
Potentially Life-Threatening,Medical Incident,B08,31
Alarm,Fuel Spill,B08,23
Fire,High Angle Rescue,B07,14
Alarm,Odor (Strange / Unknown),B01,41
Fire,HazMat,B03,48
Potentially Life-Threatening,Medical Incident,B02,37
Potentially Life-Threatening,Medical Incident,B08,21
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B08,22
Alarm,Medical Incident,B09,26
Alarm,Structure Fire,B08,33
Non Life-threatening,Other,B10,37
Fire,Odor (Strange / Unknown),B04,16
Alarm,Outside Fire,B05,05
Non Life-threatening,Traffic Collision,B99,35
Potentially Life-Threatening,Medical Incident,B04,38
Alarm,Other,B03,04
Potentially Life-Threatening,Traffic Collision,B99,40
Non Life-threatening,Traffic Collision,B99,29
Potentially Life-Threatening,Other,B08,22
Alarm,Citizen Assist / Service Call,B06,14
Alarm,Citizen Assist / Service Call,B02,06
Alarm,Outside Fire,B01,03
Potentially Life-Threatening,Medical Incident,B99,41
Alarm,Outside Fire,B03,13
Alarm,Gas Leak (Natural and LP Gases),B04,28
Non Life-threatening,Medical Incident,B99,02
Alarm,Other,B09,43
Alarm,Alarms,B01,13
Alarm,Medical Incident,B04,03
Alarm,Alarms,B03,03
Alarm,Electrical Hazard,B99,51
Alarm,Elevator / Escalator Rescue,B08,18
Non Life-threatening,Medical Incident,B03,32
Potentially Life-Threatening,Traffic Collision,B08,20
Alarm,Electrical Hazard,B02,07
Non Life-threatening,Traffic Collision,B08,23
Potentially Life-Threatening,Traffic Collision,B08,12
Non Life-threatening,Traffic Collision,B03,25
Fire,HazMat,B01,01
Potentially Life-Threatening,Other,B07,34
Fire,Vehicle Fire,B07,14
Potentially Life-Threatening,Medical Incident,B05,07
Alarm,Alarms,B10,29
Fire,Explosion,B02,07
Alarm,Medical Incident,B03,08
Potentially Life-Threatening,Medical Incident,B10,15
Non Life-threatening,Medical Incident,B06,15
Fire,Vehicle Fire,B10,32
Alarm,Smoke Investigation (Outside),B09,15
Alarm,Citizen Assist / Service Call,B04,16
Alarm,Structure Fire,B99,10
Alarm,Medical Incident,B09,19
Potentially Life-Threatening,Traffic Collision,B01,28
Fire,Suspicious Package,B02,06
Alarm,Alarms,B99,39
Alarm,Elevator / Escalator Rescue,B08,40
Alarm,Assist Police,B09,43
Alarm,Gas Leak (Natural and LP Gases),B06,24
Fire,Industrial Accidents,B04,38
Fire,Vehicle Fire,B07,21
Alarm,HazMat,B02,36
Alarm,Odor (Strange / Unknown),B08,33
Non Life-threatening,Medical Incident,B99,09
Alarm,Other,B02,09
Fire,Vehicle Fire,B07,31
Non Life-threatening,Other,B06,07
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B07,34
Fire,Structure Fire,B04,16
Alarm,Other,B99,07
Non Life-threatening,Medical Incident,B99,51
Non Life-threatening,Traffic Collision,B99,43
Alarm,Outside Fire,B06,11
Non Life-threatening,Medical Incident,B02,07
Alarm,Structure Fire,B10,09
Non Life-threatening,Other,B05,10
Potentially Life-Threatening,Medical Incident,B99,34
Fire,Outside Fire,B10,36
Alarm,Medical Incident,B01,02
Alarm,Medical Incident,B06,09
Alarm,Gas Leak (Natural and LP Gases),B06,32
Alarm,Structure Fire,B01,41
Fire,Explosion,B07,14
Non Life-threatening,Other,B99,14
Fire,Structure Fire,B03,04
Fire,Vehicle Fire,B99,51
Alarm,Assist Police,B04,16
Potentially Life-Threatening,Medical Incident,B05,33
Fire,Vehicle Fire,B02,07
Alarm,Fuel Spill,B10,25
Fire,Explosion,B10,32
Fire,Confined Space / Structure Collapse,B05,06
Non Life-threatening,Other,B05,24
Alarm,HazMat,B05,05
Non Life-threatening,Medical Incident,B99,22
Alarm,Other,B10,04
Fire,Vehicle Fire,B99,09
Alarm,Citizen Assist / Service Call,B09,43
Non Life-threatening,Medical Incident,B07,21
Non Life-threatening,Medical Incident,B99,06
Alarm,Structure Fire,B05,21
Non Life-threatening,Other,B03,37
Alarm,Other,B02,06
Fire,Outside Fire,B03,48
Non Life-threatening,Medical Incident,B07,31
Alarm,Fuel Spill,B07,12
Non Life-threatening,Traffic Collision,B99,17
Potentially Life-Threatening,Medical Incident,B06,24
Alarm,Odor (Strange / Unknown),B09,42
Potentially Life-Threatening,Traffic Collision,B08,19
Alarm,Smoke Investigation (Outside),B08,18
Non Life-threatening,Traffic Collision,B07,12
Alarm,Odor (Strange / Unknown),B09,44
Alarm,Citizen Assist / Service Call,B03,04
Alarm,Alarms,B02,01
Alarm,Other,B04,36
Fire,Explosion,B07,31
Fire,Outside Fire,B01,01
Potentially Life-Threatening,Traffic Collision,B04,10
Alarm,HazMat,B01,03
Alarm,HazMat,B03,13
Alarm,Citizen Assist / Service Call,B08,32
Alarm,Alarms,B04,41
Non Life-threatening,Medical Incident,B07,14
Fire,Structure Fire,B09,43
Non Life-threatening,Traffic Collision,B10,25
Potentially Life-Threatening,Medical Incident,B06,32
Non Life-threatening,Medical Incident,B10,32
Non Life-threatening,Traffic Collision,B99,03
Potentially Life-Threatening,Medical Incident,B03,15
Alarm,Alarms,B03,29
Alarm,Gas Leak (Natural and LP Gases),B02,37
Fire,High Angle Rescue,B99,51
Alarm,Elevator / Escalator Rescue,B99,16
Alarm,Smoke Investigation (Outside),B08,40
Fire,High Angle Rescue,B02,07
Potentially Life-Threatening,Medical Incident,B99,08
Alarm,Alarms,B05,20
Alarm,Elevator / Escalator Rescue,B10,47
Alarm,Structure Fire,B09,44
Alarm,Fuel Spill,B09,33
Alarm,Structure Fire,B09,42
Alarm,Electrical Hazard,B07,21
Fire,Aircraft Emergency,B99,44
Fire,Train / Rail Incident,B10,37
Alarm,Alarms,B05,12
Non Life-threatening,Traffic Collision,B99,11
Alarm,Gas Leak (Natural and LP Gases),B04,38
Alarm,Electrical Hazard,B07,31
Alarm,Elevator / Escalator Rescue,B09,15
Potentially Life-Threatening,Traffic Collision,B08,26
Alarm,HazMat,B06,11
Alarm,Alarms,B02,05
Alarm,Assist Police,B02,06
Potentially Life-Threatening,Medical Incident,B04,28
Non Life-threatening,Traffic Collision,B09,33
Alarm,Odor (Strange / Unknown),B05,21
Alarm,Oil Spill,B03,01
Potentially Life-Threatening,Traffic Collision,B07,01
Alarm,Outside Fire,B02,36
Alarm,Alarms,B03,35
Alarm,Electrical Hazard,B07,14
Alarm,Other,B04,16
Fire,Outside Fire,B03,36
Alarm,Alarms,B10,17
Alarm,Electrical Hazard,B10,32
Alarm,Fuel Spill,B07,14
Fire,Outside Fire,B05,06
Alarm,Structure Fire,B10,17
Alarm,Other,B08,39
Non Life-threatening,Traffic Collision,B99,22
Non Life-threatening,Other,B08,40
Alarm,Fuel Spill,B10,32
Fire,Explosion,B10,25
Alarm,Other,B06,20
Potentially Life-Threatening,Medical Incident,B08,48
Alarm,Structure Fire,B03,35
Alarm,Other,B10,42
Non Life-threatening,Traffic Collision,B99,06
Alarm,Other,B10,44
Alarm,Citizen Assist / Service Call,B02,29
Fire,Outside Fire,B05,22
Non Life-threatening,Medical Incident,B99,17
Alarm,Outside Fire,B04,03
Non Life-threatening,Traffic Collision,B07,31
Alarm,Medical Incident,B02,20
Alarm,Gas Leak (Natural and LP Gases),B01,28
Alarm,Structure Fire,B02,05
Alarm,Medical Incident,B01,03
Non Life-threatening,Traffic Collision,B07,21
Alarm,Medical Incident,B03,13
Non Life-threatening,Medical Incident,B03,28
Alarm,Electrical Hazard,B09,33
Alarm,Fuel Spill,B07,21
Non Life-threatening,Medical Incident,B07,20
Alarm,Medical Incident,B05,05
Potentially Life-Threatening,Medical Incident,B07,23
Potentially Life-Threatening,Medical Incident,B04,10
Alarm,Structure Fire,B05,12
Potentially Life-Threatening,Medical Incident,B07,05
Alarm,Citizen Assist / Service Call,B06,19
Non Life-threatening,Medical Incident,B07,12
Alarm,Alarms,B09,44
Alarm,Fuel Spill,B07,31
Potentially Life-Threatening,Traffic Collision,B06,24
Potentially Life-Threatening,Medical Incident,B08,19
Fire,Odor (Strange / Unknown),B03,01
Alarm,Alarms,B09,42
Potentially Life-Threatening,Medical Incident,B01,38
Alarm,Elevator / Escalator Rescue,B05,10
Alarm,Odor (Strange / Unknown),B02,01
Alarm,Structure Fire,B05,20
Alarm,Elevator / Escalator Rescue,B06,07
Fire,Odor (Strange / Unknown),B06,26
Fire,Structure Fire,B02,29
Alarm,Structure Fire,B03,29
Non Life-threatening,Traffic Collision,B10,32
Alarm,Citizen Assist / Service Call,B06,16
Potentially Life-Threatening,Traffic Collision,B06,32
Alarm,Odor (Strange / Unknown),B04,41
Potentially Life-Threatening,Medical Incident,B08,16
Non Life-threatening,Medical Incident,B03,39
Non Life-threatening,Traffic Collision,B07,14
Alarm,Assist Police,B02,03
Potentially Life-Threatening,Medical Incident,B06,25
Non Life-threatening,Medical Incident,B10,25
Alarm,Smoke Investigation (Outside),B05,24
Alarm,Odor (Strange / Unknown),B03,29
Alarm,Outside Fire,B01,02
Alarm,Outside Fire,B06,09
Fire,Structure Fire,B06,26
Alarm,Smoke Investigation (Outside),B99,14
Alarm,Medical Incident,B06,11
Fire,Train / Rail Incident,B09,15
Fire,Vehicle Fire,B08,23
Alarm,Other,B02,03
Alarm,Structure Fire,B04,41
Fire,HazMat,B04,05
Non Life-threatening,Medical Incident,B99,03
Alarm,Elevator / Escalator Rescue,B10,37
Non Life-threatening,Medical Incident,B99,11
Alarm,Smoke Investigation (Outside),B03,37
Alarm,Odor (Strange / Unknown),B05,12
Alarm,Alarms,B04,18
Fire,Marine Fire,B99,51
Fire,Explosion,B09,33
Alarm,Odor (Strange / Unknown),B05,20
Alarm,Structure Fire,B02,01
Fire,Water Rescue,B03,48
Fire,Structure Fire,B03,01
Alarm,Structure Fire,B10,03
Fire,Structure Fire,B01,16
Non Life-threatening,Medical Incident,B09,33
Alarm,Assist Police,B10,44
Alarm,Smoke Investigation (Outside),B99,31
Potentially Life-Threatening,Traffic Collision,B04,28
Alarm,Assist Police,B10,42
Alarm,Alarms,B05,21
Alarm,Citizen Assist / Service Call,B06,26
Potentially Life-Threatening,Medical Incident,B07,01
Potentially Life-Threatening,Medical Incident,B08,36
Non Life-threatening,Other,B08,18
Alarm,Odor (Strange / Unknown),B02,05
Alarm,Alarms,B05,31
Potentially Life-Threatening,Other,B09,32
Alarm,Smoke Investigation (Outside),B07,22
Alarm,Odor (Strange / Unknown),B10,17
Alarm,Gas Leak (Natural and LP Gases),B08,12
Alarm,Alarms,B09,01
Alarm,Assist Police,B08,39
Fire,Outside Fire,B02,08
Alarm,Gas Leak (Natural and LP Gases),B08,20
Alarm,Citizen Assist / Service Call,B04,21
Alarm,Odor (Strange / Unknown),B03,35
Alarm,Citizen Assist / Service Call,B03,01
Alarm,Outside Fire,B03,08
Fire,Confined Space / Structure Collapse,B03,36
Alarm,Citizen Assist / Service Call,B01,16
Alarm,Electrical Hazard,B10,25
Alarm,HazMat,B04,03
Fire,Other,B02,05
Alarm,Alarms,B01,41
Non Life-threatening,Other,B09,15
Alarm,Other,B03,05
Potentially Life-Threatening,Traffic Collision,B02,37
Alarm,Alarms,B10,09
Fire,Structure Fire,B10,42
Fire,Structure Fire,B10,44
Potentially Life-Threatening,Medical Incident,B99,13
Fire,Explosion,B08,23
Fire,Administrative,B06,07
Non Life-threatening,Other,B10,47
